Tweet ID,Tweet,Created Time,Language,Hashtag,,Label
1.65E+18,"@Jeremy_Hunt @SteveBakerHW @RishiSunak #BANISLAM stop the invasion, stop benefits to ppl who commit any crime. Theyâ€™ll soon learn. Sort out our veterans and our homeless before any immigrant, legal and illegal.
 Get back to proper English education. #BANHALAL and #BANKOSHER",2023-04-18 09:39:02+00:00,en,#BanIslam,,1
1.65E+18,@MianSubhanTLY @DrJalaliTLY #STOPISLAM. The islam #ideology of hate. Muslim #pedophile. #Allah is an idiot. The #quran is a book of Hate. #BANISLAM NOW.,2023-04-16 16:13:05+00:00,en,#BanIslam,,1
1.65E+18,@northernsoul99 @MayorofLondon This cretin is ruining our Great capital #SACKKHAN #BANISLAM #BANHALAL,2023-04-16 08:39:30+00:00,en,#BanIslam,,1
1.65E+18,"If these animal rights protesters had any balls, they'd go to the abattoirs and protest about animals being slaughtered without stunning for Halal meat. #BanIslam #BanHalal #GrandNational @AnimalRightsUK @DefraGovUK https://t.co/UN2pkuQDi7",2023-04-15 16:15:43+00:00,en,#BanIslam,,1
1.65E+18,@historymemestr Seem like a fair trade off? #BanIslam https://t.co/fASdOMGQlf,2023-04-15 15:37:42+00:00,en,#BanIslam,,1
1.65E+18,Seem like a fair trade off? #BanIslam https://t.co/FCs5VCckC5,2023-04-15 13:31:27+00:00,en,#BanIslam,,1
1.65E+18,#BanIslam #BanShariaLaw #BewareTaqiyya the Quran Hadith and Sira are the Trilogy of Terror ðŸ¤¬#WakeUpAmerica https://t.co/3mYuNAEw4h,2023-04-13 15:32:50+00:00,en,#BanIslam,,1
1.65E+18,"#Islam @Cobratate do you have a free opinion on this bro?
 #BanIslam https://t.co/IVkBCF0Hnq",2023-04-13 09:10:27+00:00,en,#BanIslam,,1
1.65E+18,"@LadyDi53086 @Ste87italy @hack7man No I don't mean a group of Jews who, in order to stay alive fooled the monstrous islamic beast!
 I mean the centuries long carefully cultivated inbred army of raping thieving murderers who follow the way &amp; writings of the devil! #banislam
 Dhimmitude by WMD
 https://t.co/2kolTNk88h https://t.co/ERfgTzcsqL",2023-04-12 19:26:47+00:00,en,#BanIslam,,1
1.65E+18,"@Aasii No shit! 
 #BanIslam https://t.co/QoMhu8UP6p",2023-04-11 20:31:29+00:00,en,#BanIslam,,1
1.65E+18,@MuslimsofTiktok This cult should be banned #banislam,2023-04-11 09:28:10+00:00,en,#BanIslam,,1
1.65E+18,"@BFirstParty @ByrneBarry WTAF is happening to our country?
 #BANISLAM #BANHALAL",2023-04-10 19:03:59+00:00,en,#BanIslam,,1
1.65E+18,"@Abdulla_Alamadi Effectively??? Are you serious? WTAF! Mughal invaders looted, raped, slaughtered and forced Islamic conversions upon its Native people! Stole one 3rd of our landmass, and ripped the very core out of Indiaâ€¦. Yes of course you would think thatâ€™s effectiveâ€¦. #banislam",2023-04-10 08:03:46+00:00,en,#BanIslam,,1
1.65E+18,@LoobyDoo5 Scum of the earth #banIslam,2023-04-09 20:45:35+00:00,en,#BanIslam,,1
1.64E+18,@Bushra1Shaikh Just stop your nonsense. #Banislam,2023-04-09 08:26:15+00:00,en,#BanIslam,,1
1.65E+18,"@Lindsay3668 @KonstantinKisin It only causes men to commit suicide at 4 to 10 times the rate as women. 
 One example: divorced me commit suicide 10x the rate of divorced women - British Medical Journal 
 #FeminismIsCancer",2023-04-18 22:47:21+00:00,en,"#FeminismIsCancer",,1
1.65E+18,"Explain this
 @odvss
 @VictimsComm
 @CommissionerDA
 @LDNVictimsComm
 @bindelj
 @womensaid
 @SheraFamily
 @stellacreasy
 @TaiwoOwatemi
 @DrProudman
 @DrJessTaylor
 @DrEmmaKatz
 @BarnettAdrienne
 @s_ayebkarlsson
 @FiLiAHagueMums
 @KimFawcett11
 @Jaimi_Shrive
 
 #SexTraffickers #FeminismIsCancer https://t.co/oXKNyvsqaZ",2023-04-18 20:56:37+00:00,en,"#FeminismIsCancer",,1
1.65E+18,"@Lindsay3668 @KonstantinKisin I wouldn't disagree with much of what you say, but #FeminismIsCancer opened the door to this many years ago, and very very few women complained/spoke for men/males when women took over all male spaces and later girls took over Boy Scouts even
 Not a peep",2023-04-18 19:49:42+00:00,en,"#FeminismIsCancer",,1
1.65E+18,@SeptimusSulla This is why #FeminismIsCancer,2023-04-18 19:20:20+00:00,en,"#FeminismIsCancer",,1
